scheme_code;scheme_name;net_asset_value;repurchase_price;sale_price;date
127426;Mirae Asset Fixed Maturity Plan-Series-I-368 Days-Direct Plan-Dividend;10.0083;10.0083;10.0083;24-Feb-2014
127426;Mirae Asset Fixed Maturity Plan-Series-I-368 Days-Direct Plan-Dividend;10.0100;10.0100;10.0100;25-Feb-2014
127426;Mirae Asset Fixed Maturity Plan-Series-I-368 Days-Direct Plan-Dividend;10.0063;10.0063;10.0063;26-Feb-2014
127426;Mirae Asset Fixed Maturity Plan-Series-I-368 Days-Direct Plan-Dividend;10.0078;10.0078;10.0078;28-Feb-2014
127426;Mirae Asset Fixed Maturity Plan-Series-I-368 Days-Direct Plan-Dividend;10.0066;10.0066;10.0066;03-Mar-2014
127426;Mirae Asset Fixed Maturity Plan-Series-I-368 Days-Direct Plan-Dividend;10.0059;10.0059;10.0059;04-Mar-2014
127426;Mirae Asset Fixed Maturity Plan-Series-I-368 Days-Direct Plan-Dividend;10.0226;10.0226;10.0226;05-Mar-2014
127426;Mirae Asset Fixed Maturity Plan-Series-I-368 Days-Direct Plan-Dividend;10.0258;10.0258;10.0258;06-Mar-2014
127426;Mirae Asset Fixed Maturity Plan-Series-I-368 Days-Direct Plan-Dividend;10.0370;10.0370;10.0370;07-Mar-2014
127426;Mirae Asset Fixed Maturity Plan-Series-I-368 Days-Direct Plan-Dividend;10.0457;10.0457;10.0457;10-Mar-2014
127426;Mirae Asset Fixed Maturity Plan-Series-I-368 Days-Direct Plan-Dividend;10.0557;10.0557;10.0557;11-Mar-2014
127426;Mirae Asset Fixed Maturity Plan-Series-I-368 Days-Direct Plan-Dividend;10.0583;10.0583;10.0583;12-Mar-2014
127426;Mirae Asset Fixed Maturity Plan-Series-I-368 Days-Direct Plan-Dividend;10.0602;10.0602;10.0602;13-Mar-2014
127426;Mirae Asset Fixed Maturity Plan-Series-I-368 Days-Direct Plan-Dividend;10.0697;10.0697;10.0697;14-Mar-2014
127426;Mirae Asset Fixed Maturity Plan-Series-I-368 Days-Direct Plan-Dividend;10.0819;10.0819;10.0819;18-Mar-2014
127426;Mirae Asset Fixed Maturity Plan-Series-I-368 Days-Direct Plan-Dividend;10.0852;10.0852;10.0852;19-Mar-2014
127426;Mirae Asset Fixed Maturity Plan-Series-I-368 Days-Direct Plan-Dividend;10.0914;10.0914;10.0914;20-Mar-2014
127426;Mirae Asset Fixed Maturity Plan-Series-I-368 Days-Direct Plan-Dividend;10.1054;10.1054;10.1054;21-Mar-2014
127426;Mirae Asset Fixed Maturity Plan-Series-I-368 Days-Direct Plan-Dividend;10.1180;10.1180;10.1180;24-Mar-2014
127426;Mirae Asset Fixed Maturity Plan-Series-I-368 Days-Direct Plan-Dividend;10.1193;10.1193;10.1193;25-Mar-2014
127426;Mirae Asset Fixed Maturity Plan-Series-I-368 Days-Direct Plan-Dividend;10.1190;10.1190;10.1190;26-Mar-2014
127426;Mirae Asset Fixed Maturity Plan-Series-I-368 Days-Direct Plan-Dividend;10.1203;10.1203;10.1203;27-Mar-2014
127426;Mirae Asset Fixed Maturity Plan-Series-I-368 Days-Direct Plan-Dividend;10.1342;10.1342;10.1342;28-Mar-2014
127426;Mirae Asset Fixed Maturity Plan-Series-I-368 Days-Direct Plan-Dividend;10.1384;10.1384;10.1384;02-Apr-2014
127426;Mirae Asset Fixed Maturity Plan-Series-I-368 Days-Direct Plan-Dividend;10.1404;10.1404;10.1404;03-Apr-2014
127426;Mirae Asset Fixed Maturity Plan-Series-I-368 Days-Direct Plan-Dividend;10.1413;10.1413;10.1413;04-Apr-2014
127426;Mirae Asset Fixed Maturity Plan-Series-I-368 Days-Direct Plan-Dividend;10.1479;10.1479;10.1479;07-Apr-2014
127426;Mirae Asset Fixed Maturity Plan-Series-I-368 Days-Direct Plan-Dividend;10.1483;10.1483;10.1483;09-Apr-2014
127426;Mirae Asset Fixed Maturity Plan-Series-I-368 Days-Direct Plan-Dividend;10.1513;10.1513;10.1513;10-Apr-2014
127426;Mirae Asset Fixed Maturity Plan-Series-I-368 Days-Direct Plan-Dividend;10.1537;10.1537;10.1537;11-Apr-2014
127426;Mirae Asset Fixed Maturity Plan-Series-I-368 Days-Direct Plan-Dividend;10.1643;10.1643;10.1643;15-Apr-2014
127426;Mirae Asset Fixed Maturity Plan-Series-I-368 Days-Direct Plan-Dividend;10.1679;10.1679;10.1679;16-Apr-2014
127426;Mirae Asset Fixed Maturity Plan-Series-I-368 Days-Direct Plan-Dividend;10.1735;10.1735;10.1735;17-Apr-2014
127426;Mirae Asset Fixed Maturity Plan-Series-I-368 Days-Direct Plan-Dividend;10.1831;10.1831;10.1831;21-Apr-2014
127426;Mirae Asset Fixed Maturity Plan-Series-I-368 Days-Direct Plan-Dividend;10.1847;10.1847;10.1847;22-Apr-2014
127426;Mirae Asset Fixed Maturity Plan-Series-I-368 Days-Direct Plan-Dividend;10.1873;10.1873;10.1873;23-Apr-2014
127426;Mirae Asset Fixed Maturity Plan-Series-I-368 Days-Direct Plan-Dividend;10.1917;10.1917;10.1917;25-Apr-2014
