scheme_code;scheme_name;net_asset_value;repurchase_price;sale_price;date
134888;Reliance Interval Fund -IV -Series 2 - Direct Plan - Dividend Payout Option;10.0189;10.0189;10.0189;17-Jul-2015
134888;Reliance Interval Fund -IV -Series 2 - Direct Plan - Dividend Payout Option;10.0247;10.0247;10.0247;20-Jul-2015
134888;Reliance Interval Fund -IV -Series 2 - Direct Plan - Dividend Payout Option;10.0266;10.0266;10.0266;21-Jul-2015
134888;Reliance Interval Fund -IV -Series 2 - Direct Plan - Dividend Payout Option;10.0286;10.0286;10.0286;22-Jul-2015
134888;Reliance Interval Fund -IV -Series 2 - Direct Plan - Dividend Payout Option;10.0305;10.0305;10.0305;23-Jul-2015
134888;Reliance Interval Fund -IV -Series 2 - Direct Plan - Dividend Payout Option;10.0324;10.0324;10.0324;24-Jul-2015
134888;Reliance Interval Fund -IV -Series 2 - Direct Plan - Dividend Payout Option;10.0382;10.0382;10.0382;27-Jul-2015
134888;Reliance Interval Fund -IV -Series 2 - Direct Plan - Dividend Payout Option;10.0405;10.0405;10.0405;28-Jul-2015
134888;Reliance Interval Fund -IV -Series 2 - Direct Plan - Dividend Payout Option;10.0464;10.0464;10.0464;29-Jul-2015
134888;Reliance Interval Fund -IV -Series 2 - Direct Plan - Dividend Payout Option;10.0510;10.0510;10.0510;30-Jul-2015
134888;Reliance Interval Fund -IV -Series 2 - Direct Plan - Dividend Payout Option;10.0520;10.0520;10.0520;31-Jul-2015
134888;Reliance Interval Fund -IV -Series 2 - Direct Plan - Dividend Payout Option;10.0579;10.0579;10.0579;03-Aug-2015
134888;Reliance Interval Fund -IV -Series 2 - Direct Plan - Dividend Payout Option;10.0581;10.0581;10.0581;04-Aug-2015
134888;Reliance Interval Fund -IV -Series 2 - Direct Plan - Dividend Payout Option;10.0568;10.0568;10.0568;05-Aug-2015
134888;Reliance Interval Fund -IV -Series 2 - Direct Plan - Dividend Payout Option;10.0607;10.0607;10.0607;06-Aug-2015
